type,product,article_number,diameter_cm,height_cm,checked_date,source_url,notes
flush,BARLAST LED ceiling/wall lamp,905.260.03,25,6.7,2026-07-20,https://www.ikea.com/gb/en/p/barlast-led-ceiling-wall-lamp-white-90526003/,Approximate planning proxy
ceiling,SOLKLINT ceiling lamp,404.720.31,27,20,2026-07-20,https://www.ikea.com/gb/en/p/solklint-ceiling-lamp-brass-grey-clear-glass-40472031/,Approximate planning proxy
pendant,VINDKAST pendant lamp,204.505.20,50,Approximate proxy drop,2026-07-20,https://www.ikea.com/gb/en/p/vindkast-pendant-lamp-white-20450520/,Official page specifies 50 cm shade diameter and 1.6 m cord; proxy drop is illustrative
pendant,MISTERHULT pendant lamp,904.410.18,45,40,2026-07-20,https://www.ikea.com/gb/en/p/misterhult-pendant-lamp-bamboo-handmade-90441018/,Approximate planning proxy
table,FADO table lamp,100.963.75,25,24,2026-07-20,https://www.ikea.com/gb/en/p/fado-table-lamp-white-10096375/,Warm local point-light approximation; surface placement
table,ÅRSTID table lamp,603.213.76,22,55,2026-07-20,https://www.ikea.com/gb/en/p/arstid-table-lamp-brass-white-60321376/,Warm local point-light approximation; surface placement
floor,RÖDFLIK floor reading lamp,805.619.40,40,140,2026-07-20,https://www.ikea.com/gb/en/p/roedflik-floor-reading-lamp-light-beige-80561940/,Warm local point-light approximation; fixed planning pose
floor,LAUTERS floor lamp,404.050.46,62,151,2026-07-20,https://www.ikea.com/gb/en/p/lauters-floor-lamp-ash-white-40405046/,Warm local point-light approximation; maximum-height planning pose
